Author,pub_cnt
"DELISI, LYNN",55.0
"AIROLDI, EDOARDO",27.0
"LIN, XIHONG",146.0
"MANGO, SUSAN",12.0
"SILVER, PAMELA",187.0
"WALKER, SUZANNE",116.0
"DELISI, LYNN",55.0
"BETANCOURT, THERESA",92.0
"WESSLING-RESNICK, MARIANNE",65.0
"DULAC, CATHERINE",40.0
"ASCHERIO, ALBERTO",213.0
"PRICE, ALKES",102.0
"KARPLUS, MARTIN",70.0
"HAIGIS, MARCIA",61.0
"LINDSTROEM, SARA",2.0
"PANDE, ROHINI",0.0
"LIVINGSTONE, MARGARET",55.0
"GOODRICH, LISA",30.0
"THOMAS, SHEILA",10.0
"BERKMAN, LISA",133.0
"SHARPE, ARLENE",154.0
"GRANDJEAN, PHILIPPE",123.0
"BLOOM, DAVID",77.0
"PRICE, ALKES",102.0
"CAI, TIANXI",144.0
"CORNELIS, MARILYN",61.0
"LEE, WEI-CHUNG",7.0
"SCHACTER, DANIEL",172.0
"LEE, WEI-CHUNG",7.0
"ASCHERIO, ALBERTO",213.0
"LAHAV, GALIT",45.0
"KRIEGER, NANCY",125.0
"BUCKEE, CAROLINE",60.0
"MARTI, MATTHIAS",43.0
"HERRICK, ROBERT",44.0
"WEITZ, DAVID",275.0
"NIZNIKIEWICZ, MARGARET",89.0
"PERRIMON, NORBERT",239.0
"ARTAVANIS-TSAKONAS, SPYRIDON",0.0
"HIGGINS, DARREN",39.0
"LAMONT, ELIZABETH",25.0
"IRIZARRY, RAFAEL",31.0
"ROSEN, VICKI",47.0
"DONG, MIN",30.0
"AIROLDI, EDOARDO",27.0
"HOWLEY, PETER",46.0
"LINDSTROEM, SARA",2.0
"COEN, DONALD",91.0
"HAUSER, RUSS",259.0
"BERNHARDT, THOMAS",51.0
"HOWE, ROBERT",70.0
"SOMERVILLE, LEAH",40.0
"ZANOBETTI, ANTONELLA",144.0
"VANDERWEELE, TYLER",220.0
"HSU, YA-CHIEH",12.0
"INTINI, GIUSEPPE",17.0
"TONELLATO, PETER",18.0
"MANNING, BRENDAN",74.0
"WALTER, JOHANNES",70.0
"ROWE, MEREDITH",30.0
"PERRIMON, NORBERT",239.0
"YUAN, ZHI-MIN",34.0
"WALTER, JOHANNES",70.0
"DYMECKI, SUSAN",37.0
"KOBZIK, LESTER",91.0
"TCHETGEN TCHETGEN, ERIC",90.0
"ENGERT, FLORIAN",51.0
"BERKMAN, LISA",133.0
"WHITMAN, MALCOLM",20.0
"HARPER, JEFFREY",0.0
"KIM, JANE",111.0
"LIN, XIHONG",146.0
"MOONEY, DAVID",252.0
"HOWLEY, PETER",46.0
"MUSUNURU, KIRAN",42.0
"EXTAVOUR, CASSANDRA",62.0
"BETLEY, THEODORE",41.0
"DENIC, VLADIMIR",20.0
"ZHUANG, XIAOWEI",106.0
"EGGAN, KEVIN",94.0
"TABIN, CLIFFORD",109.0
"WILSON, KATHRYN",69.0
"MEISSNER, ALEXANDER",102.0
"MITCHELL, JAMES",74.0
"PAULSSON, JOHAN",35.0
"SALIC, ADRIAN",21.0
"ROWLEY, CHRISTOPHER",14.0
"LESCHZINER, ANDRES",9.0
"LAHAV, GALIT",45.0
"DESAI, MICHAEL",43.0
"SHAKHNOVICH, EUGENE",143.0
"KALINCHUK, ANNA",8.0
"AHMAD, KAMRAN",0.0
"COLAIACOVO, MONICA",54.0
"MOAZED, DANESH",66.0
"LOK, JUDITH",15.0
"RITTER, TOBIAS",64.0
"ENGERT, FLORIAN",51.0
"GARRETT, WENDY",77.0
"YUAN, ZHI-MIN",34.0
"SILVER, PAMELA",187.0
"LIU, DAVID",200.0
"FONTANA, WALTER",15.0
"WAGERS, AMY",97.0
"KISHONY, ROY",57.0
"BETANCOURT, THERESA",92.0
"AHMAD, KAMRAN",0.0
"MAIR, WILLIAM",20.0
"KRUPAT, EDWARD",42.0
"YUAN, ZHI-MIN",34.0
"WAGNER, GERHARD",188.0
"BIEWENER, ANDREW",70.0
"HARTL, DANIEL",139.0
"WAGERS, AMY",97.0
"TCHETGEN TCHETGEN, ERIC",90.0
"KRAVITZ, EDWARD",31.0
"BENDER, WELCOME",7.0
"SLIZ, PIOTR",41.0
"SMITH, MAURICE",22.0
"MANGO, SUSAN",12.0
"KRAVITZ, EDWARD",31.0
"YUAN, JUNYING",106.0
"COREY, DAVID",56.0
"GOODRICH, LISA",30.0
"MEKALANOS, JOHN",94.0
"WILSON, RACHEL",47.0
"YAO, WEI-DONG",20.0
"SCHIER, ALEXANDER",84.0
"LEE, CHIH-HAO",42.0
"MOAZED, DANESH",66.0
"MANNING, BRENDAN",74.0
"SACKS, FRANK",154.0
"DATTA, SANDEEP",20.0
"RUDNER, DAVID",60.0
"LASSAR, ANDREW",27.0
"DULAC, CATHERINE",40.0
"MURTHY, VENKATESH",104.0
"ZHANG, YUN",31.0
"GU, CHENGHUA",28.0
"VAN VACTOR, DAVID",45.0
"WEISSKOPF, MARC",172.0
"COREY, DAVID",56.0
"LASSAR, ANDREW",27.0
"LIBERLES, STEPHEN",28.0
"SHORE, STEPHANIE",84.0
"MITCHELL, JAMES",74.0
"SALIC, ADRIAN",21.0
"ARLOTTA, PAOLA",54.0
